,trade_date,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
135,2023-05-15,총포괄손익,,20210101-20210331,300884228005.0,20220516002455,분기보고서 (2022.03),20220516,2022-05-16,035720,258801,카카오,,
136,2023-11-14,당기순이익(손실),,20230701-20230930,701184891510.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
137,2023-11-14,총포괄손익,,20230701-20230930,143460580233.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
138,2023-11-14,당기순이익(손실),,20230101-20230930,2147792254560.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
139,2023-11-14,총포괄손익,,20230101-20230930,5411785361011.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
140,2023-11-14,당기순이익(손실),,20220701-20220930,596838333540.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
141,2023-11-14,총포괄손익,,20220701-20220930,-175494891964.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
142,2023-11-14,당기순이익(손실),,20220101-20220930,1878797292107.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
143,2023-11-14,총포괄손익,,20220101-20220930,-3763501802897.0,20231114002364,분기보고서 (2023.09),20231114,2023-11-14,028260,149655,삼성물산,,
144,2023-05-15,당기순이익(손실),,20230101-20230331,751910769097.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
145,2023-05-15,총포괄손익,,20230101-20230331,2601019045679.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
146,2023-05-15,당기순이익(손실),,20220101-20220331,649187764372.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
147,2023-05-15,총포괄손익,,20220101-20220331,-1300152891456.0,20230515002292,분기보고서 (2023.03),20230515,2023-05-15,028260,149655,삼성물산,,
148,2023-05-15,당기순이익(손실),,20220701-20220930,596838333540.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
149,2023-05-15,총포괄손익,,20220701-20220930,-175494891964.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
150,2023-05-15,당기순이익(손실),,20220101-20220930,1878797292107.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
151,2023-05-15,총포괄손익,,20220101-20220930,-3763501802897.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
152,2023-05-15,당기순이익(손실),,20210701-20210930,375105366698.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
153,2023-05-15,총포괄손익,,20210701-20210930,-1407391436366.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
154,2023-05-15,당기순이익(손실),,20210101-20210930,1595667916211.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
155,2023-05-15,총포괄손익,,20210101-20210930,14301275973.0,20221114001747,분기보고서 (2022.09),20221114,2022-11-14,028260,149655,삼성물산,,
156,2023-05-15,당기순이익(손실),,20220101-20220331,649187764372.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
157,2023-05-15,총포괄손익,,20220101-20220331,-1300152891456.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
158,2023-05-15,당기순이익(손실),,20210101-20210331,886713172202.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
159,2023-05-15,총포괄손익,,20210101-20210331,1138182589020.0,20220516002225,분기보고서 (2022.03),20220516,2022-05-16,028260,149655,삼성물산,,
160,2023-11-14,당기순이익(손실),,20230701-20230930,485262000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
161,2023-11-14,총포괄손익,,20230701-20230930,683194000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
162,2023-11-14,당기순이익(손실),,20230101-20230930,1227045000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
163,2023-11-14,총포괄손익,,20230101-20230930,1966949000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
164,2023-11-14,당기순이익(손실),,20220701-20220930,336431000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
165,2023-11-14,총포괄손익,,20220701-20220930,1647688000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
166,2023-11-14,당기순이익(손실),,20220101-20220930,2075464000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
167,2023-11-14,총포괄손익,,20220101-20220930,5026639000000.0,20231114001391,분기보고서 (2023.09),20231114,2023-11-14,066570,401731,LG전자,,
168,2023-05-15,당기순이익(손실),,20230101-20230331,546529000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
169,2023-05-15,총포괄손익,,20230101-20230331,1061915000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
170,2023-05-15,당기순이익(손실),,20220101-20220331,1401001000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
171,2023-05-15,총포괄손익,,20220101-20220331,1978394000000.0,20230515001288,분기보고서 (2023.03),20230515,2023-05-15,066570,401731,LG전자,,
172,2023-05-15,당기순이익(손실),,20220701-20220930,336431000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
173,2023-05-15,총포괄손익,,20220701-20220930,1647688000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
174,2023-05-15,당기순이익(손실),,20220101-20220930,2075464000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
