,trade_date,Unnamed: 0,concept_id,label_ko,label_en,class0,class1,class2,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name
88,2023-02-14,2523.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20220630,11878229852.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
89,2023-02-14,2524.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20220630,47279163828.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
90,2023-02-14,2525.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20220630,28636024773.0,20230214001047.0,반기보고서 (2022.12),20230214.0,2023-02-14,33250.0,125576.0,체시스
91,2023-02-14,4953.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,66492725844.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
92,2023-02-14,4954.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,51134905171.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
93,2023-02-14,4955.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,117627631015.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
94,2023-02-14,4956.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,34573932789.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
95,2023-02-14,4957.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,15696202233.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
96,2023-02-14,4958.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,50270135022.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
97,2023-02-14,4959.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,67357495993.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
98,2023-02-14,4960.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20220630,62186943491.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
99,2023-02-14,4961.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20220630,47038689533.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
100,2023-02-14,4962.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20220630,109225633024.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
101,2023-02-14,4963.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20220630,25323796690.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
102,2023-02-14,4964.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20220630,16162880860.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
103,2023-02-14,4965.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20220630,41486677550.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
104,2023-02-14,4966.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20220630,67738955474.0,20230214000945.0,반기보고서 (2022.12),20230214.0,2023-02-14,93240.0,441243.0,형지엘리트
105,2023-02-14,7788.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,173042566303.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
106,2023-02-14,7789.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20221231,297803634581.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
107,2023-02-14,7790.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20221231,470846200884.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
108,2023-02-14,7791.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20221231,298257637543.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
109,2023-02-14,7792.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20221231,98665755299.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
110,2023-02-14,7793.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20221231,396923392842.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
111,2023-02-14,7794.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20221231,73922808042.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
112,2023-02-14,7795.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20220331,154084068667.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
113,2023-02-14,7796.0,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,20220331,302786521612.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
114,2023-02-14,7797.0,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,20220331,456870590279.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
115,2023-02-14,7798.0,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,20220331,295469088481.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
116,2023-02-14,7799.0,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,20220331,99967251018.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
117,2023-02-14,7800.0,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,20220331,395436339499.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
118,2023-02-14,7801.0,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,20220331,61434250780.0,20230214000252.0,분기보고서 (2022.12),20230214.0,2023-02-14,18500.0,118008.0,동원금속
119,2023-02-14,9650.0,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,20221231,96435579501.0,20230214001235.0,분기보고서 (2022.12),20230214.0,2023-02-14,8110.0,157104.0,대동전자
