,label_ko,class3,fs_date,amount,rcp_no,report_nm,rcept_dt,available_at,stock_code,corp_code,corp_name,comment,class4
355,총포괄손익,,20220701-20220930,1647688000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
356,당기순이익(손실),,20220101-20220930,2075464000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
357,총포괄손익,,20220101-20220930,5026639000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
358,당기순이익(손실),,20210701-20210930,516477000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
359,총포괄손익,,20210701-20210930,1079780000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
360,당기순이익(손실),,20210101-20210930,1393657000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
361,총포괄손익,,20210101-20210930,2520828000000.0,20221114001014,분기보고서 (2022.09),20221114,2022-11-14,066570,401731,LG전자,,
370,당기순이익(손실),,20220101-20220331,1401001000000.0,20220516001009,분기보고서 (2022.03),20220516,2022-05-16,066570,401731,LG전자,,
371,총포괄손익,,20220101-20220331,1978394000000.0,20220516001009,분기보고서 (2022.03),20220516,2022-05-16,066570,401731,LG전자,,
372,당기순이익(손실),,20210101-20210331,1169145000000.0,20220516001009,분기보고서 (2022.03),20220516,2022-05-16,066570,401731,LG전자,,
373,총포괄손익,,20210101-20210331,1536150000000.0,20220516001009,분기보고서 (2022.03),20220516,2022-05-16,066570,401731,LG전자,,
374,당기순이익(손실),,20230701-20230930,729613504000.0,20231114002247,분기보고서 (2023.09),20231114,2023-11-14,096770,631518,SK이노베이션,,
375,당기순이익(손실),,20230101-20230930,557219736000.0,20231114002247,분기보고서 (2023.09),20231114,2023-11-14,096770,631518,SK이노베이션,,
376,당기순이익(손실),,20220701-20220930,175161747000.0,20231114002247,분기보고서 (2023.09),20231114,2023-11-14,096770,631518,SK이노베이션,,
377,당기순이익(손실),,20220101-20220930,2376935902000.0,20231114002247,분기보고서 (2023.09),20231114,2023-11-14,096770,631518,SK이노베이션,,
381,당기순이익(손실),,20230701-20230930,195199124000.0,20231114002212,분기보고서 (2023.09),20231114,2023-11-14,047050,124504,포스코인터내셔널,,
382,총포괄손익,,20230701-20230930,202153939000.0,20231114002212,분기보고서 (2023.09),20231114,2023-11-14,047050,124504,포스코인터내셔널,,
383,당기순이익(손실),,20230101-20230930,607012219000.0,20231114002212,분기보고서 (2023.09),20231114,2023-11-14,047050,124504,포스코인터내셔널,,
384,총포괄손익,,20230101-20230930,677421909000.0,20231114002212,분기보고서 (2023.09),20231114,2023-11-14,047050,124504,포스코인터내셔널,,
385,당기순이익(손실),,20220701-20220930,112759614000.0,20231114002212,분기보고서 (2023.09),20231114,2023-11-14,047050,124504,포스코인터내셔널,,
