,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20221231,20211231,20201231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20230630,20220630,20210630,20191231,20200630,20190630,20180630,20170630,20160630,20230331,20220331,20210331,20220930,20181231,20171231,20161231,20151231,20141231,"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: USD)",20131231,20121231,20111231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)",concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
97,entity00273615_udf_BS_202251118127465_NoncurrentLiabilities,매입채무 및 기타채무,TLong-term trade and other non-current payables,재무상태표 [abstract],부채 [abstract],비유동부채,매입채무 및 기타채무,,60000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,3104896510.0,16805935238.0,4357500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,entity00273615_udf_BS_202251118131336_NoncurrentLiabilities,장기사채,long-term bonds,재무상태표 [abstract],부채 [abstract],비유동부채,장기사채,,3080949402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,450605472.0,369329143.0,314993637.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,257361168.0,683507063.0,633537864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,entity00273615_udf_BS_2023311182115375_NoncurrentLiabilities,회생채무,Workout payables,재무상태표 [abstract],부채 [abstract],비유동부채,회생채무,,,9384913.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,89909718122.0,103067009232.0,46182267987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유주자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주자본,,7553733741.0,5029524653.0,23048816864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주자본,자본금,13624072500.0,7548530000.0,6535770500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,dart_CapitalSurplus,자본잉여금,Capital surplus,재무상태표 [abstract],자본 [abstract],지배기업의 소유주자본,자본잉여금,164980520605.0,154634875983.0,210113241581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,dart_OtherCapitalAdjustments,자본조정,Other capital adjustments,재무상태표 [abstract],자본 [abstract],지배기업의 소유주자본,자본조정,25891359.0,25891359.0,25891359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주자본,기타포괄손익누계액,-20613593402.0,-45419405034.0,-47715315848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,ifrs-full_RetainedEarnings,결손금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주자본,결손금,-150463157321.0,-111760367655.0,-145910770728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,7553733741.0,5029524653.0,23048816864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,97463451863.0,108096533885.0,69231084851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,ifrs-full_CurrentAssets,유동자산,Current assets,재무상태표 [abstract],자산 [abstract],유동자산,,244993953070.0,319733925042.0,199079039053.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,53723846072.0,47577577293.0,32060606357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,dart_ShortTermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],유동자산,단기금융상품,3300014118.0,2589064435.0,2574510720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,dart_ShortTermTradeReceivable,매출채권,Short-term trade Receivable,재무상태표 [abstract],자산 [abstract],유동자산,매출채권,60663933582.0,98198512796.0,77002319033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,entity00126089_udf_BS_2018118174945410_CurrentAssets,기타수취채권,other receivables,재무상태표 [abstract],자산 [abstract],유동자산,기타수취채권,40104533074.0,40971694936.0,17657348321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,ifrs-full_Inventories,재고자산,Inventories,재무상태표 [abstract],자산 [abstract],유동자산,재고자산,67378947233.0,57120070006.0,41894176478.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,유동성상각후원가측정금융자산,Current financial assets at amortised cost,재무상태표 [abstract],자산 [abstract],유동자산,유동성상각후원가측정금융자산,,39920000000.0,17660000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,당기손익-공정가치 측정 금융자산,"Current financial assets at fair value through profit or loss, mandatorily measured at fair value",재무상태표 [abstract],자산 [abstract],유동자산,당기손익-공정가치 측정 금융자산,5745550000.0,7247540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,dart_CurrentDerivativeAsset,파생상품자산,Current derivative asset,재무상태표 [abstract],자산 [abstract],유동자산,파생상품자산,315375000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,ifrs-full_CurrentTaxAssets,당기법인세자산,Current tax assets,재무상태표 [abstract],자산 [abstract],유동자산,당기법인세자산,1007129613.0,257913198.0,7811514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,dart_OtherCurrentAssets,기타유동자산,Other current assets,재무상태표 [abstract],자산 [abstract],유동자산,기타유동자산,12754624378.0,25851552378.0,10222266630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,entity00126089_udf_BS_202289131725150_AssetsAbstract,매각예정비유동자산,Non-current assets held for sale,재무상태표 [abstract],자산 [abstract],매각예정비유동자산,,9622219971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,,288594103812.0,274659763256.0,274039245598.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,dart_LongTermDepositsNotClassifiedAsCashEquivalents,장기금융상품,Long-term deposits not classified as cash equivalents,재무상태표 [abstract],자산 [abstract],비유동자산,장기금융상품,1210500000.0,264213800.0,172504800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,dart_LongTermTradeReceivablesGross,장기매출채권,"Long-term trade receivables, gross",재무상태표 [abstract],자산 [abstract],비유동자산,장기매출채권,5518313158.0,1281246907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,entity00126089_udf_BS_2020812101811631_NoncurrentAssets,기타수취채권(비유동),Non-current other receivables,재무상태표 [abstract],자산 [abstract],비유동자산,기타수취채권(비유동),2834804765.0,30735234236.0,53533108914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,ifrs-full_NoncurrentFinancialAssetsAtAmortisedCost,상각후원가측정금융자산,Non-current financial assets at amortised cost,재무상태표 [abstract],자산 [abstract],비유동자산,상각후원가측정금융자산,,7051667472.0,6768118498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치 측정 금융자산,Non-current financial assets measured at fair value through other comprehensive income,재무상태표 [abstract],자산 [abstract],비유동자산,기타포괄손익-공정가치 측정 금융자산,41835898456.0,25871631027.0,23641759350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,entity00126089_udf_BS_2018118181650176_NoncurrentAssets,당기손익-공정가치 측정 금융자산,Financial assets measured at fair value through profit or loss,재무상태표 [abstract],자산 [abstract],비유동자산,당기손익-공정가치 측정 금융자산,16500200.0,246207074.0,1689747404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,entity00126089_udf_BS_2018118182531922_NoncurrentAssets,관계기업투자,Investment assets of associates,재무상태표 [abstract],자산 [abstract],비유동자산,관계기업투자,50075574466.0,32061828492.0,32352551245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",재무상태표 [abstract],자산 [abstract],비유동자산,유형자산,96227816959.0,123052969750.0,101977744707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,ifrs-full_InvestmentProperty,투자부동산,Investment property,재무상태표 [abstract],자산 [abstract],비유동자산,투자부동산,47591004366.0,16855709084.0,19830223667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,ifrs-full_RightofuseAssets,사용권자산,Right-of-use assets,재무상태표 [abstract],자산 [abstract],비유동자산,사용권자산,11325758016.0,4370463315.0,5151626319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,Intangible assets,재무상태표 [abstract],자산 [abstract],비유동자산,무형자산,24709675797.0,26193144008.0,26275369878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,dart_OtherNonCurrentAssets,기타비유동자산,Other non-current assets,재무상태표 [abstract],자산 [abstract],비유동자산,기타비유동자산,1906880610.0,518400283.0,678172019.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred tax assets,재무상태표 [abstract],자산 [abstract],비유동자산,이연법인세자산,5341377019.0,6157047808.0,1968318797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,ifrs-full_Assets,자산총계,Total assets,재무상태표 [abstract],자산 [abstract],자산총계,,543210276853.0,594393688298.0,473118284651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,,330733362911.0,340478723231.0,287355849995.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,dart_ShortTermTradePayables,매입채무,Short-term trade Payables,재무상태표 [abstract],부채 [abstract],유동부채,매입채무,87567919985.0,108266130633.0,106900459773.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,ifrs-full_ShorttermBorrowings,단기차입금,Short-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,단기차입금,84583809193.0,88682130392.0,81992859002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,entity00126089_udf_BS_2018118185050729_CurrentLiabilities,기타지급채무,Other account Payables,재무상태표 [abstract],부채 [abstract],유동부채,기타지급채무,13625198759.0,21677514554.0,11110151182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기차입금,Current portion of long-term borrowings,재무상태표 [abstract],부채 [abstract],유동부채,유동성장기차입금,22505903243.0,31666845855.0,8963360000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,dart_CurrentPortionOfBonds,유동성회사채,Current portion of bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성회사채,12912561414.0,9909288419.0,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,dart_CurrentPortionOfConvertibleBonds,유동성전환사채,Current portion of convertible bonds,재무상태표 [abstract],부채 [abstract],유동부채,유동성전환사채,15528228529.0,,1848617954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,dart_CurrentFinancialLiabilitiesDesignationAsAtFairValueThroughProfitOrLoss,유동당기손익금융부채,Current financial liabilities designation as at fair value through profit or loss,재무상태표 [abstract],부채 [abstract],유동부채,유동당기손익금융부채,54100855685.0,47910023570.0,40929990784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,ifrs-full_CurrentLeaseLiabilities,유동성리스부채,Current lease liabilities,재무상태표 [abstract],부채 [abstract],유동부채,유동성리스부채,1565659528.0,2101647696.0,2204904105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current tax liabilities,재무상태표 [abstract],부채 [abstract],유동부채,당기법인세부채,2606847933.0,1459866539.0,5072992200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,17722100343.0,5839067183.0,9452228647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,dart_CurrentFinancialGuaranteeLiabilities,금융보증부채,Current financial guarantee liabilities,재무상태표 [abstract],부채 [abstract],유동부채,금융보증부채,1330373298.0,90359174.0,123002499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,ifrs-full_CurrentProvisions,유동충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,유동충당부채,4159463040.0,4920523244.0,33074000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,12524441961.0,17955325972.0,15724209849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,entity00126089_udf_BS_2023321164139732_LiabilitiesAbstract,매각예정비유동부채,Non-current liabilities due for sale,재무상태표 [abstract],부채 [abstract],매각예정비유동부채,,6372884075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,94851569274.0,115007877137.0,64866611504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,entity00126089_udf_BS_202093152512549_NoncurrentLiabilities,기타지급채무(비유동),Other account Payables,재무상태표 [abstract],부채 [abstract],비유동부채,기타지급채무(비유동),70534084.0,233423455.0,387674764.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,dart_LongTermBorrowingsGross,장기차입금,"Long-term borrowings, gross",재무상태표 [abstract],부채 [abstract],비유동부채,장기차입금,24114810859.0,24351688280.0,10500270000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,dart_BondsIssued,회사채,Bonds issued,재무상태표 [abstract],부채 [abstract],비유동부채,회사채,21518466320.0,27303393928.0,19389777971.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,dart_ConvertibleBonds,전환사채,Convertible bonds,재무상태표 [abstract],부채 [abstract],비유동부채,전환사채,,13750066259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,dart_NonCurrentFinancialLiabilitiesAtFairValueThroughProfitOrLoss,당기손익인식금융부채,Non-current financial liabilities at fair value through profit or loss,재무상태표 [abstract],부채 [abstract],비유동부채,당기손익인식금융부채,10421140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,dart_NonCurrentFinancialGuaranteeLiabilities,금융보증부채,Non-current financial guarantee liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,금융보증부채,,211300778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,ifrs-full_NoncurrentProvisionsForEmployeeBenefits,확정급여채무,Non-current provisions for employee benefits,재무상태표 [abstract],부채 [abstract],비유동부채,확정급여채무,22457751801.0,24635560226.0,23549447555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,dart_NonCurrentProvisionsForProductWarranties,충당부채,Non-current provisions for product warranties,재무상태표 [abstract],부채 [abstract],비유동부채,충당부채,1630825839.0,1960214807.0,2189428402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,ifrs-full_NoncurrentLeaseLiabilities,리스부채,Non-current lease liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,리스부채,10685850169.0,2951553280.0,4397226809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,dart_NonCurrentDerivativeLiabilities,파생상품부채,Non-current derivative liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,파생상품부채,,16032487500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,이연법인세부채,2302190202.0,3578188624.0,2652786003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,ifrs-full_OtherNoncurrentFinancialLiabilities,기타비유동금융부채,Other non-current financial liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동금융부채,1650000000.0,,1800000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,ifrs-full_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,431957816260.0,455486600368.0,352222461499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,ifrs-full_EquityAttributableToOwnersOfParent,지배기업의 소유지분,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,,60805149276.0,103675368374.0,96113945272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,ifrs-full_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,자본금,60499387000.0,60499387000.0,58331443500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ifrs-full_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,주식발행초과금,66734579300.0,66734579300.0,64442365732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,dart_ElementsOfOtherStockholdersEquity,기타자본구성요소,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,기타자본구성요소,18157321882.0,24481718136.0,20842157123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,ifrs-full_RetainedEarnings,결손금,Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유지분,결손금,-84586138906.0,-48040316062.0,-47502021083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,50447311317.0,35231719556.0,24781877880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,ifrs-full_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,111252460593.0,138907087930.0,120895823152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,ifrs-full_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,543210276853.0,594393688298.0,473118284651.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
