,종가,시가총액,거래량,거래대금,상장주식수,티커,trade_date
607,4775,132145288650,62951,300213775,27674406,372910,20240115
606,3960,132430320000,373343,1483922330,33442000,025820,20240115
605,6100,132943491500,168874,1028811030,21794015,077500,20240115
604,1227,133000111623,696209,853948167,108394549,014160,20240115
603,2135,133222142550,149119,319056370,62399130,017550,20240115
602,203,135148201867,52925978,11170192728,665754689,003060,20240115
601,1903,135203432463,291154,553360214,71047521,002700,20240115
600,1318,135208817208,162795,215101623,102586356,009270,20240115
599,12270,135481757160,20764,255033220,11041708,210540,20240115
598,8470,135520000000,46617,392307230,16000000,004970,20240115
597,14380,136610000000,2225,31849500,9500000,004080,20240115
596,3265,137130000000,2765958,8870138265,42000000,047400,20240115
595,979,138180563400,566075,553155322,141144600,008040,20240115
594,30250,138190651500,345855,10497835950,4568286,248170,20240115
593,4335,138286500000,8896,38533045,31900000,089470,20240115
592,3310,139682000000,25521,84155750,42200000,400760,20240115
591,19300,142008357800,20793,400211900,7357946,000500,20240115
590,12320,142397024000,14905,183705550,11558200,094280,20240115
589,108000,143424000000,669,72504300,1328000,003830,20240115
588,4175,144037500000,80563,336776445,34500000,079980,20240115
587,5100,145350000000,22355,113595350,28500000,033920,20240115
586,3035,146084665655,49342,150046435,48133333,070960,20240115
585,4870,146100000000,11305849,57218380260,30000000,009070,20240115
584,48750,146250000000,3938,192571800,3000000,002170,20240115
583,3065,147033462790,29899010,88638544195,47971766,004140,20240115
582,38050,147347864000,3798,144854900,3872480,031440,20240115
581,11100,147531776100,12058,133183260,13291151,000320,20240115
580,7230,148470088860,39895,291207290,20535282,079430,20240115
579,6520,148659260000,8216,53466790,22800500,000970,20240115
578,52000,149541600000,25907,1345250300,2875800,007540,20240115
577,5760,150341587200,545777,3245512820,26100970,002210,20240115
576,4350,151681977000,1259451,5442110945,34869420,014530,20240115
575,94000,152977950000,1489,140699100,1627425,02826K,20240115
574,13250,153700000000,62317,827349650,11600000,006890,20240115
573,6400,153950713600,792390,5071812340,24054799,214420,20240115
572,65200,154199499600,10784,711063800,2365023,012320,20240115
571,5860,154233049380,120822,709620860,26319633,013570,20240115
570,9660,155424173940,50978,492183380,16089459,016710,20240115
569,3740,155645205100,103034,387240800,41616365,012610,20240115
568,70900,155928101200,186,13241400,2199268,134380,20240115
567,6590,156707590360,23711,155042090,23779604,136490,20240115
566,5390,156939670580,1956,10546040,29116822,101530,20240115
565,8580,157134583320,109926,946558110,18314054,017370,20240115
564,1084,157691371580,278094,301865679,145471745,002780,20240115
563,5550,158575876500,131075,725168590,28572230,015230,20240115
562,2365,158838316835,623305,1492657640,67162079,001360,20240115
561,2750,159345348250,2829443,7748488215,57943763,017900,20240115
560,11630,159714964450,24464,284110500,13733015,282690,20240115
559,4700,159800000000,224345,1060206000,34000000,003720,20240115
558,1390,161071719650,1579244,2181504579,115878935,006490,20240115
557,26300,161166400000,218586,5922968000,6128000,111380,20240115
556,3780,161349300000,860848,3241329965,42685000,058850,20240115
555,5670,162162663390,105208,602782200,28600117,008260,20240115
554,6290,163802997480,563020,3553581530,26041812,000700,20240115
553,3860,163843061540,9032,34747155,42446389,016610,20240115
552,3410,166312308580,1522879,5259761655,48771938,010820,20240115
551,53100,168133450500,32085,1693122200,3166355,005430,20240115
550,22450,168525661950,41477,926233150,7506711,100840,20240115
549,6060,168595023660,133678,800631940,27820961,033530,20240115
548,950,169084147350,47540,45625919,177983313,001020,20240115
547,6220,169205577180,36447,228571470,27203469,000390,20240115
546,2195,169288979900,588192,1281453190,77124820,008700,20240115
545,5210,169663545800,209630,1086388640,32564980,024900,20240115
544,13410,170228149200,3162924,42534136140,12694120,004090,20240115
543,5290,171640138790,1384377,7130011135,32446151,011700,20240115
